# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号|electricityBalance
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=23011109;2=23011110;3=23011111;4=23011112|0.0
09A栋|311|3|4|1=26091333;2=26091334;3=26091335;4=26091336|0.0
09A栋|312|3|4|1=26091337;2=26091338;3=26091339;4=26091340|0.0
09A栋|313|3|4|1=26091433;2=26091434;3=26091435;4=26091436|0.0
09A栋|314|3|4|1=26091437;2=26091438;3=26091439;4=26091440|0.0
09A栋|315|3|4|1=26092133;2=26092134;3=26092135;4=26092136|0.0
09A栋|316|3|4|1=26092137;2=26092138;3=26092139;4=26092140|0.0
09A栋|317|3|4|1=26092233;2=26092234;3=26092235;4=26092236|0.0
09A栋|318|3|4|1=26092237;2=26092238;3=26092239;4=26092240|0.0
09A栋|319|3|4|1=26092333;2=26092334;3=26092335;4=26092336|0.0
09A栋|320|3|4|1=26092337;2=26092338;3=26092339;4=26092340|0.0
09A栋|321|3|4|1=26092433;2=26092434;3=26092435;4=26092436|0.0
09A栋|322|3|4|1=26092437;2=26092438;3=26092439;4=26092440|0.0
09A栋|323|3|4|1=26093133;2=26093134;3=26093135;4=26093136|0.0
09A栋|324|3|4|1=26093137;2=26093138;3=26093139;4=26093140|0.0
09A栋|325|3|4|1=26093233;2=26093234;3=26093235;4=26093236|0.0
09A栋|326|3|4|1=26093237;2=26093238;3=26093239;4=26093240|0.0
09A栋|327|3|4|1=26093333;2=26093334;3=26093335;4=26093336|0.0
09A栋|328|3|4|1=26093337;2=26093338;3=26093339;4=26093340|0.0
09A栋|329|3|4|1=26093433;2=26093434;3=26093435;4=26093436|0.0
09A栋|330|3|4|1=26093437;2=26093438;3=26093439;4=26093440|0.0
09A栋|331|3|4|1=26094133;2=26094134;3=26094135;4=26094136|0.0
09A栋|332|3|4|1=26094137;2=26094138;3=26094139;4=26094140|0.0
09A栋|333|3|4|1=26094233;2=26094234;3=26094235;4=26094236|0.0
09A栋|334|3|4|1=26094237;2=26094238;3=26094239;4=26094240|0.0
09A栋|335|3|4|1=26094333;2=26094334;3=26094335;4=26094336|0.0
09A栋|336|3|4|1=26094337;2=26094338;3=26094339;4=26094340|0.0
09A栋|337|3|4|1=26094433;2=26094434;3=26094435;4=26094436|0.0
09A栋|338|3|4|1=26094437;2=26094438;3=26094439;4=26094440|0.0
09A栋|339|3|4|1=;2=;3=;4=|0.0
09A栋|340|3|4|1=;2=;3=;4=|0.0
09A栋|341|3|4|1=;2=;3=;4=|0.0
09A栋|342|3|4|1=;2=;3=;4=|0.0
09A栋|343|3|4|1=;2=;3=;4=|0.0
09A栋|344|3|4|1=;2=;3=;4=|0.0
09A栋|345|3|4|1=;2=;3=;4=|0.0
09B栋|101|1|4|1=23091101;2=23091102;3=23091103;4=23091104|0.0
09B栋|102|1|4|1=23091105;2=23091106;3=23091107;4=23091108|0.0
09B栋|103|1|4|1=23091109;2=23091110;3=23091111;4=23091112|0.0
09B栋|104|1|4|1=23091113;2=23091114;3=23091115;4=23091116|0.0
09B栋|105|1|4|1=23091117;2=23091118;3=23091119;4=23091120|0.0
09B栋|106|1|4|1=23091121;2=23091122;3=23091123;4=23091124|0.0
09B栋|107|1|4|1=23091125;2=23091126;3=23091127;4=23091128|0.0
09B栋|108|1|4|1=23091129;2=23091130;3=23091131;4=23091132|0.0
09B栋|109|1|4|1=23091201;2=23091202;3=23091203;4=23091204|0.0
09B栋|110|1|4|1=23091205;2=23091206;3=23091207;4=23091208|0.0
09B栋|111|1|4|1=23091209;2=23091210;3=23091211;4=23091212|0.0
09B栋|112|1|4|1=23091213;2=23091214;3=23091215;4=23091216|0.0
09B栋|113|1|4|1=23091217;2=23091218;3=23091219;4=23091220|0.0
09B栋|114|1|4|1=23091221;2=23091222;3=23091223;4=23091224|0.0
09B栋|115|1|4|1=23091225;2=23091226;3=23091227;4=23091228|0.0
09B栋|116|1|4|1=23091229;2=23091230;3=23091231;4=23091232|0.0
09B栋|117|1|4|1=23091301;2=23091302;3=23091303;4=23091304|0.0
09B栋|118|1|4|1=23091305;2=23091306;3=23091307;4=23091308|0.0
09B栋|119|1|4|1=23091309;2=23091310;3=23091311;4=23091312|0.0
09B栋|120|1|4|1=23091313;2=23091314;3=23091315;4=23091316|0.0
09B栋|121|1|4|1=23091317;2=23091318;3=23091319;4=23091320|0.0
09B栋|122|1|4|1=23091321;2=23091322;3=23091323;4=23091324|0.0
09B栋|123|1|4|1=23091325;2=23091326;3=23091327;4=23091328|0.0
09B栋|124|1|4|1=23091329;2=23091330;3=23091331;4=23091332|0.0
09B栋|125|1|4|1=23091401;2=23091402;3=23091403;4=23091404|0.0
09B栋|126|1|4|1=23091405;2=23091406;3=23091407;4=23091408|0.0
09B栋|127|1|4|1=23091409;2=23091410;3=23091411;4=23091412|0.0
09B栋|128|1|4|1=23091413;2=23091414;3=23091415;4=23091416|0.0
09B栋|129|1|4|1=23091417;2=23091418;3=23091419;4=23091420|0.0
09B栋|130|1|4|1=23091421;2=23091422;3=23091423;4=23091424|0.0
09B栋|131|1|4|1=23091425;2=23091426;3=23091427;4=23091428|0.0
09B栋|132|1|4|1=23091429;2=23091430;3=23091431;4=23091432|0.0
09B栋|133|1|4|1=23092101;2=23092102;3=23092103;4=23092104|0.0
09B栋|134|1|4|1=23092105;2=23092106;3=23092107;4=23092108|0.0
09B栋|135|1|4|1=23092109;2=23092110;3=23092111;4=23092112|0.0
09B栋|136|1|4|1=23092113;2=23092114;3=23092115;4=23092116|0.0
09B栋|137|1|4|1=23092117;2=23092118;3=23092119;4=23092120|0.0
09B栋|138|1|4|1=23092121;2=23092122;3=23092123;4=23092124|0.0
09B栋|139|1|4|1=23092125;2=23092126;3=23092127;4=23092128|0.0
09B栋|140|1|4|1=23092129;2=23092130;3=23092131;4=23092132|0.0
09B栋|141|1|4|1=23092201;2=23092202;3=23092203;4=23092204|0.0
09B栋|142|1|4|1=23092205;2=23092206;3=23092207;4=23092208|0.0
09B栋|143|1|4|1=23092209;2=23092210;3=23092211;4=23092212|0.0
09B栋|144|1|4|1=23092213;2=23092214;3=23092215;4=23092216|0.0
09B栋|145|1|4|1=23092217;2=23092218;3=23092219;4=23092220|0.0
09B栋|201|2|4|1=23092221;2=23092222;3=23092223;4=23092224|0.0
09B栋|202|2|4|1=23092225;2=23092226;3=23092227;4=23092228|0.0
09B栋|203|2|4|1=23092229;2=23092230;3=23092231;4=23092232|0.0
09B栋|204|2|4|1=23092301;2=23092302;3=23092303;4=23092304|0.0
09B栋|205|2|4|1=23092305;2=23092306;3=23092307;4=23092308|0.0
09B栋|206|2|4|1=23092309;2=23092310;3=23092311;4=23092312|0.0
09B栋|207|2|4|1=23092313;2=23092314;3=23092315;4=23092316|0.0
09B栋|208|2|4|1=23092317;2=23092318;3=23092319;4=23092320|0.0
09B栋|209|2|4|1=23092321;2=23092322;3=23092323;4=23092324|0.0
09B栋|210|2|4|1=23092325;2=23092326;3=23092327;4=23092328|0.0
09B栋|211|2|4|1=23092329;2=23092330;3=23092331;4=23092332|0.0
09B栋|212|2|4|1=23092401;2=23092402;3=23092403;4=23092404|0.0
09B栋|213|2|4|1=23092405;2=23092406;3=23092407;4=23092408|0.0
09B栋|214|2|4|1=23092409;2=23092410;3=23092411;4=23092412|0.0
09B栋|215|2|4|1=23092413;2=23092414;3=23092415;4=23092416|0.0
09B栋|216|2|4|1=23092417;2=23092418;3=23092419;4=23092420|0.0
09B栋|217|2|4|1=23092421;2=23092422;3=23092423;4=23092424|0.0
09B栋|218|2|4|1=23092425;2=23092426;3=23092427;4=23092428|0.0
09B栋|219|2|4|1=23092429;2=23092430;3=23092431;4=23092432|0.0
09B栋|220|2|4|1=23093101;2=23093102;3=23093103;4=23093104|0.0
09B栋|221|2|4|1=23093105;2=23093106;3=23093107;4=23093108|0.0
09B栋|222|2|4|1=23093109;2=23093110;3=23093111;4=23093112|0.0
09B栋|223|2|4|1=23093113;2=23093114;3=23093115;4=23093116|0.0
09B栋|224|2|4|1=23093117;2=23093118;3=23093119;4=23093120|0.0
09B栋|225|2|4|1=23093121;2=23093122;3=23093123;4=23093124|0.0
09B栋|226|2|4|1=23093125;2=23093126;3=23093127;4=23093128|0.0
09B栋|227|2|4|1=23093129;2=23093130;3=23093131;4=23093132|0.0
09B栋|228|2|4|1=23093201;2=23093202;3=23093203;4=23093204|0.0
09B栋|229|2|4|1=23093205;2=23093206;3=23093207;4=23093208|0.0
09B栋|230|2|4|1=23093209;2=23093210;3=23093211;4=23093212|0.0
09B栋|231|2|4|1=23093213;2=23093214;3=23093215;4=23093216|0.0
09B栋|232|2|4|1=23093217;2=23093218;3=23093219;4=23093220|0.0
09B栋|233|2|4|1=23093221;2=23093222;3=23093223;4=23093224|0.0
09B栋|234|2|4|1=23093225;2=23093226;3=23093227;4=23093228|0.0
09B栋|235|2|4|1=23093229;2=23093230;3=23093231;4=23093232|0.0
09B栋|236|2|4|1=23093301;2=23093302;3=23093303;4=23093304|0.0
09B栋|237|2|4|1=23093305;2=23093306;3=23093307;4=23093308|0.0
09B栋|238|2|4|1=23093309;2=23093310;3=23093311;4=23093312|0.0
09B栋|239|2|4|1=23093313;2=23093314;3=23093315;4=23093316|0.0
09B栋|240|2|4|1=23093317;2=23093318;3=23093319;4=23093320|0.0
09B栋|241|2|4|1=23093321;2=23093322;3=23093323;4=23093324|0.0
09B栋|242|2|4|1=23093325;2=23093326;3=23093327;4=23093328|0.0
09B栋|243|2|4|1=23093329;2=23093330;3=23093331;4=23093332|0.0
09B栋|244|2|4|1=23093401;2=23093402;3=23093403;4=23093404|0.0
09B栋|245|2|4|1=23093405;2=23093406;3=23093407;4=23093408|0.0
09B栋|301|3|4|1=23093409;2=23093410;3=23093411;4=23093412|0.0
09B栋|302|3|4|1=23093413;2=23093414;3=23093415;4=23093416|0.0
09B栋|303|3|4|1=23093417;2=23093418;3=23093419;4=23093420|0.0
09B栋|304|3|4|1=23093421;2=23093422;3=23093423;4=23093424|0.0
09B栋|305|3|4|1=23093425;2=23093426;3=23093427;4=23093428|0.0
09B栋|306|3|4|1=23093429;2=23093430;3=23093431;4=23093432|0.0
09B栋|307|3|4|1=23094101;2=23094102;3=23094103;4=23094104|0.0
09B栋|308|3|4|1=23094105;2=23094106;3=23094107;4=23094108|0.0
09B栋|309|3|4|1=23094109;2=23094110;3=23094111;4=23094112|0.0
09B栋|310|3|4|1=23094113;2=23094114;3=23094115;4=23094116|0.0
09B栋|311|3|4|1=23094117;2=23094118;3=23094119;4=23094120|0.0
09B栋|312|3|4|1=23094121;2=23094122;3=23094123;4=23094124|0.0
09B栋|313|3|4|1=23094125;2=23094126;3=23094127;4=23094128|0.0
09B栋|314|3|4|1=23094129;2=23094130;3=23094131;4=23094132|0.0
09B栋|315|3|4|1=23094201;2=23094202;3=23094203;4=23094204|0.0
09B栋|316|3|4|1=23094205;2=23094206;3=23094207;4=23094208|0.0
09B栋|317|3|4|1=23094209;2=23094210;3=23094211;4=23094212|0.0
09B栋|318|3|4|1=23094213;2=23094214;3=23094215;4=23094216|0.0
09B栋|319|3|4|1=23094217;2=23094218;3=23094219;4=23094220|0.0
09B栋|320|3|4|1=23094221;2=23094222;3=23094223;4=23094224|0.0
09B栋|321|3|4|1=23094225;2=23094226;3=23094227;4=23094228|0.0
09B栋|322|3|4|1=23094229;2=23094230;3=23094231;4=23094232|0.0
09B栋|323|3|4|1=23094301;2=23094302;3=23094303;4=23094304|0.0
09B栋|324|3|4|1=23094305;2=23094306;3=23094307;4=23094308|0.0
09B栋|325|3|4|1=23094309;2=23094310;3=23094311;4=23094312|0.0
09B栋|326|3|4|1=23094313;2=23094314;3=23094315;4=23094316|0.0
09B栋|327|3|4|1=23094317;2=23094318;3=23094319;4=23094320|0.0
09B栋|328|3|4|1=23094321;2=23094322;3=23094323;4=23094324|0.0
09B栋|329|3|4|1=23094325;2=23094326;3=23094327;4=23094328|0.0
09B栋|330|3|4|1=23094329;2=23094330;3=23094331;4=23094332|0.0
09B栋|331|3|4|1=23094401;2=23094402;3=23094403;4=23094404|0.0
09B栋|332|3|4|1=23094405;2=23094406;3=23094407;4=23094408|0.0
09B栋|333|3|4|1=23094409;2=23094410;3=23094411;4=23094412|0.0
09B栋|334|3|4|1=23094413;2=23094414;3=23094415;4=23094416|0.0
09B栋|335|3|4|1=23094417;2=23094418;3=23094419;4=23094420|0.0
09B栋|336|3|4|1=23094421;2=23094422;3=23094423;4=23094424|0.0
09B栋|337|3|4|1=23094425;2=23094426;3=23094427;4=23094428|0.0
09B栋|338|3|4|1=23094429;2=23094430;3=23094431;4=23094432|0.0
09B栋|339|3|4|1=24091101;2=24091102;3=24091103;4=24091104|0.0
09B栋|340|3|4|1=24091105;2=24091106;3=24091107;4=24091108|0.0
09B栋|341|3|4|1=24091109;2=24091110;3=24091111;4=24091112|0.0
09B栋|342|3|4|1=24091113;2=24091114;3=24091115;4=24091116|0.0
09B栋|343|3|4|1=24091117;2=24091118;3=24091119;4=24091120|0.0
09B栋|344|3|4|1=24091121;2=24091122;3=24091123;4=24091124|0.0
09B栋|345|3|4|1=24091125;2=24091126;3=24091127;4=24091128|0.0
09B栋|401|4|4|1=24091129;2=24091130;3=24091131;4=24091132|0.0
09B栋|402|4|4|1=24091201;2=24091202;3=24091203;4=24091204|0.0
09B栋|403|4|4|1=24091205;2=24091206;3=24091207;4=24091208|0.0
09B栋|404|4|4|1=24091209;2=24091210;3=24091211;4=24091212|0.0
09B栋|405|4|4|1=24091213;2=24091214;3=24091215;4=24091216|0.0
09B栋|406|4|4|1=24091217;2=24091218;3=24091219;4=24091220|0.0
09B栋|407|4|4|1=24091221;2=24091222;3=24091223;4=24091224|0.0
09B栋|408|4|4|1=24091225;2=24091226;3=24091227;4=24091228|0.0
09B栋|409|4|4|1=24091229;2=24091230;3=24091231;4=24091232|0.0
09B栋|410|4|4|1=24091301;2=24091302;3=24091303;4=24091304|0.0
09B栋|411|4|4|1=24091305;2=24091306;3=24091307;4=24091308|0.0
09B栋|412|4|4|1=24091309;2=24091310;3=24091311;4=24091312|0.0
09B栋|413|4|4|1=24091313;2=24091314;3=24091315;4=24091316|0.0
09B栋|414|4|4|1=24091317;2=24091318;3=24091319;4=24091320|0.0
09B栋|415|4|4|1=24091321;2=24091322;3=24091323;4=24091324|0.0
09B栋|416|4|4|1=24091325;2=24091326;3=24091327;4=24091328|0.0
09B栋|417|4|4|1=24091329;2=24091330;3=24091331;4=24091332|0.0
09B栋|418|4|4|1=24091401;2=24091402;3=24091403;4=24091404|0.0
09B栋|419|4|4|1=24091405;2=24091406;3=24091407;4=24091408|0.0
09B栋|420|4|4|1=24091409;2=24091410;3=24091411;4=24091412|0.0
09B栋|421|4|4|1=24091413;2=24091414;3=24091415;4=24091416|0.0
09B栋|422|4|4|1=24091417;2=24091418;3=24091419;4=24091420|0.0
09B栋|423|4|4|1=24091421;2=24091422;3=24091423;4=24091424|0.0
09B栋|424|4|4|1=24091425;2=24091426;3=24091427;4=24091428|0.0
09B栋|425|4|4|1=24091429;2=24091430;3=24091431;4=24091432|0.0
09B栋|426|4|4|1=24092101;2=24092102;3=24092103;4=24092104|0.0
09B栋|427|4|4|1=24092105;2=24092106;3=24092107;4=24092108|0.0
09B栋|428|4|4|1=24092109;2=24092110;3=24092111;4=24092112|0.0
09B栋|429|4|4|1=24092113;2=24092114;3=24092115;4=24092116|0.0
09B栋|430|4|4|1=24092117;2=24092118;3=24092119;4=24092120|0.0
09B栋|431|4|4|1=24092121;2=24092122;3=24092123;4=24092124|0.0
09B栋|432|4|4|1=24092125;2=24092126;3=24092127;4=24092128|0.0
09B栋|433|4|4|1=24092129;2=24092130;3=24092131;4=24092132|0.0
09B栋|434|4|4|1=24092201;2=24092202;3=24092203;4=24092204|0.0
09B栋|435|4|4|1=24092205;2=24092206;3=24092207;4=24092208|0.0
09B栋|436|4|4|1=24092209;2=24092210;3=24092211;4=24092212|0.0
09B栋|437|4|4|1=24092213;2=24092214;3=24092215;4=24092216|0.0
09B栋|438|4|4|1=24092217;2=24092218;3=24092219;4=24092220|0.0
09B栋|439|4|4|1=24092221;2=24092222;3=24092223;4=24092224|0.0
09B栋|440|4|4|1=24092225;2=24092226;3=24092227;4=24092228|0.0
09B栋|441|4|4|1=24092229;2=24092230;3=24092231;4=24092232|0.0
09B栋|442|4|4|1=24092301;2=24092302;3=24092303;4=24092304|0.0
09B栋|443|4|4|1=24092305;2=24092306;3=24092307;4=24092308|0.0
09B栋|444|4|4|1=24092309;2=24092310;3=24092311;4=24092312|0.0
09B栋|445|4|4|1=24092313;2=24092314;3=24092315;4=24092316|0.0
09B栋|501|5|4|1=24092317;2=24092318;3=24092319;4=24092320|0.0
09B栋|502|5|4|1=24092321;2=24092322;3=24092323;4=24092324|0.0
09B栋|503|5|4|1=24092325;2=24092326;3=24092327;4=24092328|0.0
09B栋|504|5|4|1=24092329;2=24092330;3=24092331;4=24092332|0.0
09B栋|505|5|4|1=24092401;2=24092402;3=24092403;4=24092404|0.0
09B栋|506|5|4|1=24092405;2=24092406;3=24092407;4=24092408|0.0
09B栋|507|5|4|1=24092409;2=24092410;3=24092411;4=24092412|0.0
09B栋|508|5|4|1=24092413;2=24092414;3=24092415;4=24092416|0.0
09B栋|509|5|4|1=24092417;2=24092418;3=24092419;4=24092420|0.0
09B栋|510|5|4|1=24092421;2=24092422;3=24092423;4=24092424|0.0
09B栋|511|5|4|1=24092425;2=24092426;3=24092427;4=24092428|0.0
09B栋|512|5|4|1=24092429;2=24092430;3=24092431;4=24092432|0.0
09B栋|513|5|4|1=24093101;2=24093102;3=24093103;4=24093104|0.0
09B栋|514|5|4|1=24093105;2=24093106;3=24093107;4=24093108|0.0
09B栋|515|5|4|1=24093109;2=24093110;3=24093111;4=24093112|0.0
09B栋|516|5|4|1=24093113;2=24093114;3=24093115;4=24093116|0.0
09B栋|517|5|4|1=24093117;2=24093118;3=24093119;4=24093120|0.0
09B栋|518|5|4|1=24093121;2=24093122;3=24093123;4=24093124|0.0
09B栋|519|5|4|1=24093125;2=24093126;3=24093127;4=24093128|0.0
09B栋|520|5|4|1=24093129;2=24093130;3=24093131;4=24093132|0.0
09B栋|521|5|4|1=24093201;2=24093202;3=24093203;4=24093204|0.0
09B栋|522|5|4|1=24093205;2=24093206;3=24093207;4=24093208|0.0
09B栋|523|5|4|1=24093209;2=24093210;3=24093211;4=24093212|0.0
09B栋|524|5|4|1=24093213;2=24093214;3=24093215;4=24093216|0.0
09B栋|525|5|4|1=24093217;2=24093218;3=24093219;4=24093220|0.0
09B栋|526|5|4|1=24093221;2=24093222;3=24093223;4=24093224|0.0
09B栋|527|5|4|1=24093225;2=24093226;3=24093227;4=24093228|0.0
09B栋|528|5|4|1=24093229;2=24093230;3=24093231;4=24093232|0.0
09B栋|529|5|4|1=24093301;2=24093302;3=24093303;4=24093304|0.0
09B栋|530|5|4|1=24093305;2=24093306;3=24093307;4=24093308|0.0
09B栋|531|5|4|1=24093309;2=24093310;3=24093311;4=24093312|0.0
09B栋|532|5|4|1=24093313;2=24093314;3=24093315;4=24093316|0.0
09B栋|533|5|4|1=24093317;2=24093318;3=24093319;4=24093320|0.0
09B栋|534|5|4|1=24093321;2=24093322;3=24093323;4=24093324|0.0
09B栋|535|5|4|1=24093325;2=24093326;3=24093327;4=24093328|0.0
09B栋|536|5|4|1=24093329;2=24093330;3=24093331;4=24093332|0.0
09B栋|537|5|4|1=24093401;2=24093402;3=24093403;4=24093404|0.0
09B栋|538|5|4|1=24093405;2=24093406;3=24093407;4=24093408|0.0
09B栋|539|5|4|1=24093409;2=24093410;3=24093411;4=24093412|0.0
09B栋|540|5|4|1=24093413;2=24093414;3=24093415;4=24093416|0.0
09B栋|541|5|4|1=24093417;2=24093418;3=24093419;4=24093420|0.0
09B栋|542|5|4|1=24093421;2=24093422;3=24093423;4=24093424|0.0
09B栋|543|5|4|1=24093425;2=24093426;3=24093427;4=24093428|0.0
09B栋|544|5|4|1=24093429;2=24093430;3=24093431;4=24093432|0.0
09B栋|545|5|4|1=24094101;2=24094102;3=24094103;4=24094104|0.0
09B栋|601|6|4|1=24094105;2=24094106;3=24094107;4=24094108|0.0
09B栋|602|6|4|1=24094109;2=24094110;3=24094111;4=24094112|0.0
09B栋|603|6|4|1=24094113;2=24094114;3=24094115;4=24094116|0.0
09B栋|604|6|4|1=24094117;2=24094118;3=24094119;4=24094120|0.0
09B栋|605|6|4|1=24094121;2=24094122;3=24094123;4=24094124|0.0
09B栋|606|6|4|1=24094125;2=24094126;3=24094127;4=24094128|0.0
09B栋|607|6|4|1=24094129;2=24094130;3=24094131;4=24094132|0.0
09B栋|608|6|4|1=24094201;2=24094202;3=24094203;4=24094204|0.0
09B栋|609|6|4|1=24094205;2=24094206;3=24094207;4=24094208|0.0
09B栋|610|6|4|1=24094209;2=24094210;3=24094211;4=24094212|0.0
09B栋|611|6|4|1=24094213;2=24094214;3=24094215;4=24094216|0.0
09B栋|612|6|4|1=24094217;2=24094218;3=24094219;4=24094220|0.0
09B栋|613|6|4|1=24094221;2=24094222;3=24094223;4=24094224|0.0
09B栋|614|6|4|1=24094225;2=24094226;3=24094227;4=24094228|0.0
09B栋|615|6|4|1=24094229;2=24094230;3=24094231;4=24094232|0.0
09B栋|616|6|4|1=24094301;2=24094302;3=24094303;4=24094304|0.0
09B栋|617|6|4|1=24094305;2=24094306;3=24094307;4=24094308|0.0
09B栋|618|6|4|1=24094309;2=24094310;3=24094311;4=24094312|0.0
09B栋|619|6|4|1=24094313;2=24094314;3=24094315;4=24094316|0.0
09B栋|620|6|4|1=24094317;2=24094318;3=24094319;4=24094320|0.0
09B栋|621|6|4|1=24094321;2=24094322;3=24094323;4=24094324|0.0
09B栋|622|6|4|1=24094325;2=24094326;3=24094327;4=24094328|0.0
09B栋|623|6|4|1=24094329;2=24094330;3=24094331;4=24094332|0.0
09B栋|624|6|4|1=24094401;2=24094402;3=24094403;4=24094404|0.0
09B栋|625|6|4|1=24094405;2=24094406;3=24094407;4=24094408|0.0
09B栋|626|6|4|1=24094409;2=24094410;3=24094411;4=24094412|0.0
09B栋|627|6|4|1=24094413;2=24094414;3=24094415;4=24094416|0.0
09B栋|628|6|4|1=24094417;2=24094418;3=24094419;4=24094420|0.0
09B栋|629|6|4|1=24094421;2=24094422;3=24094423;4=24094424|0.0
09B栋|630|6|4|1=24094425;2=24094426;3=24094427;4=24094428|0.0
09B栋|631|6|4|1=24094429;2=24094430;3=24094431;4=24094432|0.0
09B栋|632|6|4|1=25091101;2=25091102;3=25091103;4=25091104|0.0
09B栋|633|6|4|1=25091105;2=25091106;3=25091107;4=25091108|0.0
09B栋|634|6|4|1=25091109;2=25091110;3=25091111;4=25091112|0.0
09B栋|635|6|4|1=25091113;2=25091114;3=25091115;4=25091116|0.0
09B栋|636|6|4|1=25091117;2=25091118;3=25091119;4=25091120|0.0
09B栋|637|6|4|1=25091121;2=25091122;3=25091123;4=25091124|0.0
09B栋|638|6|4|1=25091125;2=25091126;3=25091127;4=25091128|0.0
09B栋|639|6|4|1=25091129;2=25091130;3=25091131;4=25091132|0.0
09B栋|640|6|4|1=25091201;2=25091202;3=25091203;4=25091204|0.0
09B栋|641|6|4|1=25091205;2=25091206;3=25091207;4=25091208|0.0
09B栋|642|6|4|1=25091209;2=25091210;3=25091211;4=25091212|0.0
09B栋|643|6|4|1=25091213;2=25091214;3=25091215;4=25091216|0.0
09B栋|644|6|4|1=25091217;2=25091218;3=25091219;4=25091220|0.0
09B栋|645|6|4|1=25091221;2=25091222;3=25091223;4=25091224|0.0
09B栋|701|7|4|1=25091225;2=25091226;3=25091227;4=25091228|0.0
09B栋|702|7|4|1=25091229;2=25091230;3=25091231;4=25091232|0.0
09B栋|703|7|4|1=25091301;2=25091302;3=25091303;4=25091304|0.0
09B栋|704|7|4|1=25091305;2=25091306;3=25091307;4=25091308|0.0
09B栋|705|7|4|1=25091309;2=25091310;3=25091311;4=25091312|0.0
09B栋|706|7|4|1=25091313;2=25091314;3=25091315;4=25091316|0.0
09B栋|707|7|4|1=25091317;2=25091318;3=25091319;4=25091320|0.0
09B栋|708|7|4|1=25091321;2=25091322;3=25091323;4=25091324|0.0
09B栋|709|7|4|1=25091325;2=25091326;3=25091327;4=25091328|0.0
09B栋|710|7|4|1=25091329;2=25091330;3=25091331;4=25091332|0.0
09B栋|711|7|4|1=25091401;2=25091402;3=25091403;4=25091404|0.0
09B栋|712|7|4|1=25091405;2=25091406;3=25091407;4=25091408|0.0
09B栋|713|7|4|1=25091409;2=25091410;3=25091411;4=25091412|0.0
09B栋|714|7|4|1=25091413;2=25091414;3=25091415;4=25091416|0.0
09B栋|715|7|4|1=25091417;2=25091418;3=25091419;4=25091420|0.0
09B栋|716|7|4|1=25091421;2=25091422;3=25091423;4=25091424|0.0
09B栋|717|7|4|1=25091425;2=25091426;3=25091427;4=25091428|0.0
09B栋|718|7|4|1=25091429;2=25091430;3=25091431;4=25091432|0.0
09B栋|719|7|4|1=25092101;2=25092102;3=25092103;4=25092104|0.0
09B栋|720|7|4|1=25092105;2=25092106;3=25092107;4=25092108|0.0
09B栋|721|7|4|1=25092109;2=25092110;3=25092111;4=25092112|0.0
09B栋|722|7|4|1=25092113;2=25092114;3=25092115;4=25092116|0.0
09B栋|723|7|4|1=25092117;2=25092118;3=25092119;4=25092120|0.0
09B栋|724|7|4|1=25092121;2=25092122;3=25092123;4=25092124|0.0
09B栋|725|7|4|1=25092125;2=25092126;3=25092127;4=25092128|0.0
09B栋|726|7|4|1=25092129;2=25092130;3=25092131;4=25092132|0.0
09B栋|727|7|4|1=25092201;2=25092202;3=25092203;4=25092204|0.0
09B栋|728|7|4|1=25092205;2=25092206;3=25092207;4=25092208|0.0
09B栋|729|7|4|1=25092209;2=25092210;3=25092211;4=25092212|0.0
09B栋|730|7|4|1=25092213;2=25092214;3=25092215;4=25092216|0.0
09B栋|731|7|4|1=25092217;2=25092218;3=25092219;4=25092220|0.0
09B栋|732|7|4|1=25092221;2=25092222;3=25092223;4=25092224|0.0
09B栋|733|7|4|1=25092225;2=25092226;3=25092227;4=25092228|0.0
09B栋|734|7|4|1=25092229;2=25092230;3=25092231;4=25092232|0.0
09B栋|735|7|4|1=25092301;2=25092302;3=25092303;4=25092304|0.0
09B栋|736|7|4|1=25092305;2=25092306;3=25092307;4=25092308|0.0
09B栋|737|7|4|1=25092309;2=25092310;3=25092311;4=25092312|0.0
09B栋|738|7|4|1=25092313;2=25092314;3=25092315;4=25092316|0.0
09B栋|739|7|4|1=25092317;2=25092318;3=25092319;4=25092320|0.0
09B栋|740|7|4|1=25092321;2=25092322;3=25092323;4=25092324|0.0
09B栋|741|7|4|1=25092325;2=25092326;3=25092327;4=25092328|0.0
09B栋|742|7|4|1=25092329;2=25092330;3=25092331;4=25092332|0.0
09B栋|743|7|4|1=25092401;2=25092402;3=25092403;4=25092404|0.0
09B栋|744|7|4|1=25092405;2=25092406;3=25092407;4=25092408|0.0
09B栋|745|7|4|1=25092409;2=25092410;3=25092411;4=25092412|0.0
09B栋|801|8|4|1=25092413;2=25092414;3=25092415;4=25092416|0.0
09B栋|802|8|4|1=25092417;2=25092418;3=25092419;4=25092420|0.0
09B栋|803|8|4|1=25092421;2=25092422;3=25092423;4=25092424|0.0
09B栋|804|8|4|1=25092425;2=25092426;3=25092427;4=25092428|0.0
09B栋|805|8|4|1=25092429;2=25092430;3=25092431;4=25092432|0.0
09B栋|806|8|4|1=25093101;2=25093102;3=25093103;4=25093104|0.0
09B栋|807|8|4|1=25093105;2=25093106;3=25093107;4=25093108|0.0
09B栋|808|8|4|1=25093109;2=25093110;3=25093111;4=25093112|0.0
