# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=24011109;2=24011110;3=24011111;4=24011112
08B栋|137|1|4|1=25081301;2=25081302;3=25081303;4=25081304
08B栋|138|1|4|1=25081305;2=25081306;3=25081307;4=25081308
08B栋|139|1|4|1=25081401;2=25081402;3=25081403;4=25081404
08B栋|140|1|4|1=25081405;2=25081406;3=25081407;4=25081408
08B栋|141|1|4|1=25082101;2=25082102;3=25082103;4=25082104
08B栋|142|1|4|1=25082105;2=25082106;3=25082107;4=25082108
08B栋|143|1|4|1=25082201;2=25082202;3=25082203;4=25082204
08B栋|144|1|4|1=25082205;2=25082206;3=25082207;4=25082208
08B栋|145|1|4|1=25082301;2=25082302;3=25082303;4=25082304
08B栋|201|2|4|1=25082305;2=25082306;3=25082307;4=25082308
08B栋|202|2|4|1=25082401;2=25082402;3=25082403;4=25082404
08B栋|203|2|4|1=25082405;2=25082406;3=25082407;4=25082408
08B栋|204|2|4|1=25083101;2=25083102;3=25083103;4=25083104
08B栋|205|2|4|1=25083105;2=25083106;3=25083107;4=25083108
08B栋|206|2|4|1=25083201;2=25083202;3=25083203;4=25083204
08B栋|207|2|4|1=25083205;2=25083206;3=25083207;4=25083208
08B栋|208|2|4|1=25083301;2=25083302;3=25083303;4=25083304
08B栋|209|2|4|1=25083305;2=25083306;3=25083307;4=25083308
08B栋|210|2|4|1=25083401;2=25083402;3=25083403;4=25083404
08B栋|211|2|4|1=25083405;2=25083406;3=25083407;4=25083408
08B栋|212|2|4|1=25084101;2=25084102;3=25084103;4=25084104
08B栋|213|2|4|1=25084105;2=25084106;3=25084107;4=25084108
08B栋|214|2|4|1=25084201;2=25084202;3=25084203;4=25084204
08B栋|215|2|4|1=25084205;2=25084206;3=25084207;4=25084208
08B栋|216|2|4|1=25084301;2=25084302;3=25084303;4=25084304
08B栋|217|2|4|1=25084305;2=25084306;3=25084307;4=25084308
08B栋|218|2|4|1=25084401;2=25084402;3=25084403;4=25084404
08B栋|219|2|4|1=25084405;2=25084406;3=25084407;4=25084408
08B栋|220|2|4|1=;2=;3=;4=
08B栋|221|2|4|1=;2=;3=;4=
08B栋|222|2|4|1=;2=;3=;4=
08B栋|223|2|4|1=;2=;3=;4=
08B栋|224|2|4|1=;2=;3=;4=
08B栋|225|2|4|1=;2=;3=;4=
08B栋|226|2|4|1=;2=;3=;4=
08B栋|227|2|4|1=;2=;3=;4=
08B栋|228|2|4|1=;2=;3=;4=
08B栋|229|2|4|1=;2=;3=;4=
08B栋|230|2|4|1=;2=;3=;4=
08B栋|231|2|4|1=;2=;3=;4=
08B栋|232|2|4|1=;2=;3=;4=
08B栋|233|2|4|1=;2=;3=;4=
08B栋|234|2|4|1=;2=;3=;4=
08B栋|235|2|4|1=;2=;3=;4=
08B栋|236|2|4|1=;2=;3=;4=
08B栋|237|2|4|1=;2=;3=;4=
08B栋|238|2|4|1=;2=;3=;4=
08B栋|239|2|4|1=;2=;3=;4=
08B栋|240|2|4|1=;2=;3=;4=
08B栋|241|2|4|1=;2=;3=;4=
08B栋|242|2|4|1=;2=;3=;4=
08B栋|243|2|4|1=;2=;3=;4=
08B栋|244|2|4|1=;2=;3=;4=
08B栋|245|2|4|1=;2=;3=;4=
09A栋|101|1|4|1=24091133;2=24091134;3=24091135;4=24091136
09A栋|102|1|4|1=24091137;2=24091138;3=24091139;4=24091140
09A栋|103|1|4|1=24091233;2=24091234;3=24091235;4=24091236
09A栋|104|1|4|1=24091237;2=24091238;3=24091239;4=24091240
09A栋|105|1|4|1=24091333;2=24091334;3=24091335;4=24091336
09A栋|106|1|4|1=24091337;2=24091338;3=24091339;4=24091340
09A栋|107|1|4|1=24091433;2=24091434;3=24091435;4=24091436
09A栋|108|1|4|1=24091437;2=24091438;3=24091439;4=24091440
09A栋|109|1|4|1=24092133;2=24092134;3=24092135;4=24092136
09A栋|110|1|4|1=24092137;2=24092138;3=24092139;4=24092140
09A栋|111|1|4|1=24092233;2=24092234;3=24092235;4=24092236
09A栋|112|1|4|1=24092237;2=24092238;3=24092239;4=24092240
09A栋|113|1|4|1=24092333;2=24092334;3=24092335;4=24092336
09A栋|114|1|4|1=24092337;2=24092338;3=24092339;4=24092340
09A栋|115|1|4|1=24092433;2=24092434;3=24092435;4=24092436
09A栋|116|1|4|1=24092437;2=24092438;3=24092439;4=24092440
09A栋|117|1|4|1=24093133;2=24093134;3=24093135;4=24093136
09A栋|118|1|4|1=24093137;2=24093138;3=24093139;4=24093140
09A栋|119|1|4|1=24093233;2=24093234;3=24093235;4=24093236
09A栋|120|1|4|1=24093237;2=24093238;3=24093239;4=24093240
09A栋|121|1|4|1=24093333;2=24093334;3=24093335;4=24093336
09A栋|122|1|4|1=24093337;2=24093338;3=24093339;4=24093340
09A栋|123|1|4|1=24093433;2=24093434;3=24093435;4=24093436
09A栋|124|1|4|1=24093437;2=24093438;3=24093439;4=24093440
09A栋|125|1|4|1=24094133;2=24094134;3=24094135;4=24094136
09A栋|126|1|4|1=24094137;2=24094138;3=24094139;4=24094140
09A栋|127|1|4|1=24094233;2=24094234;3=24094235;4=24094236
09A栋|128|1|4|1=24094237;2=24094238;3=24094239;4=24094240
09A栋|129|1|4|1=24094333;2=24094334;3=24094335;4=24094336
09A栋|130|1|4|1=24094337;2=24094338;3=24094339;4=24094340
09A栋|131|1|4|1=24094433;2=24094434;3=24094435;4=24094436
09A栋|132|1|4|1=24094437;2=24094438;3=24094439;4=24094440
09A栋|133|1|4|1=25091133;2=25091134;3=25091135;4=25091136
09A栋|134|1|4|1=25091137;2=25091138;3=25091139;4=25091140
09A栋|135|1|4|1=25091233;2=25091234;3=25091235;4=25091236
09A栋|136|1|4|1=25091237;2=25091238;3=25091239;4=25091240
09A栋|137|1|4|1=25091333;2=25091334;3=25091335;4=25091336
09A栋|138|1|4|1=25091337;2=25091338;3=25091339;4=25091340
09A栋|139|1|4|1=25091433;2=25091434;3=25091435;4=25091436
09A栋|140|1|4|1=25091437;2=25091438;3=25091439;4=25091440
09A栋|141|1|4|1=25092133;2=25092134;3=25092135;4=25092136
09A栋|142|1|4|1=25092137;2=25092138;3=25092139;4=25092140
09A栋|143|1|4|1=25092233;2=25092234;3=25092235;4=25092236
09A栋|144|1|4|1=25092237;2=25092238;3=25092239;4=25092240
09A栋|145|1|4|1=25092333;2=25092334;3=25092335;4=25092336
09A栋|201|2|4|1=25092337;2=25092338;3=25092339;4=25092340
09A栋|202|2|4|1=25092433;2=25092434;3=25092435;4=25092436
09A栋|203|2|4|1=25092437;2=25092438;3=25092439;4=25092440
09A栋|204|2|4|1=25093133;2=25093134;3=25093135;4=25093136
09A栋|205|2|4|1=25093137;2=25093138;3=25093139;4=25093140
09A栋|206|2|4|1=25093233;2=25093234;3=25093235;4=25093236
09A栋|207|2|4|1=25093237;2=25093238;3=25093239;4=25093240
09A栋|208|2|4|1=25093333;2=25093334;3=25093335;4=25093336
09A栋|209|2|4|1=25093337;2=25093338;3=25093339;4=25093340
09A栋|210|2|4|1=25093433;2=25093434;3=25093435;4=25093436
09A栋|211|2|4|1=25093437;2=25093438;3=25093439;4=25093440
09A栋|212|2|4|1=25094133;2=25094134;3=25094135;4=25094136
09A栋|213|2|4|1=25094137;2=25094138;3=25094139;4=25094140
09A栋|214|2|4|1=25094233;2=25094234;3=25094235;4=25094236
09A栋|215|2|4|1=25094237;2=25094238;3=25094239;4=25094240
09A栋|216|2|4|1=25094333;2=25094334;3=25094335;4=25094336
09A栋|217|2|4|1=25094337;2=25094338;3=25094339;4=25094340
09A栋|218|2|4|1=25094433;2=25094434;3=25094435;4=25094436
09A栋|219|2|4|1=25094437;2=25094438;3=25094439;4=25094440
09A栋|220|2|4|1=;2=;3=;4=
09A栋|221|2|4|1=;2=;3=;4=
09A栋|222|2|4|1=;2=;3=;4=
09A栋|223|2|4|1=;2=;3=;4=
09A栋|224|2|4|1=;2=;3=;4=
09A栋|225|2|4|1=;2=;3=;4=
09A栋|226|2|4|1=;2=;3=;4=
09A栋|227|2|4|1=;2=;3=;4=
09A栋|228|2|4|1=;2=;3=;4=
09A栋|229|2|4|1=;2=;3=;4=
09A栋|230|2|4|1=;2=;3=;4=
09A栋|231|2|4|1=;2=;3=;4=
09A栋|232|2|4|1=;2=;3=;4=
09A栋|233|2|4|1=;2=;3=;4=
09A栋|234|2|4|1=;2=;3=;4=
09A栋|235|2|4|1=;2=;3=;4=
09A栋|236|2|4|1=;2=;3=;4=
09A栋|237|2|4|1=;2=;3=;4=
09A栋|238|2|4|1=;2=;3=;4=
09A栋|239|2|4|1=;2=;3=;4=
09A栋|240|2|4|1=;2=;3=;4=
09A栋|241|2|4|1=;2=;3=;4=
09A栋|242|2|4|1=;2=;3=;4=
09A栋|243|2|4|1=;2=;3=;4=
09A栋|244|2|4|1=;2=;3=;4=
09A栋|245|2|4|1=;2=;3=;4=
09B栋|101|1|4|1=24091101;2=24091102;3=24091103;4=24091104
09B栋|102|1|4|1=24091105;2=24091106;3=24091107;4=24091108
09B栋|103|1|4|1=24091109;2=24091110;3=24091111;4=24091112
09B栋|104|1|4|1=24091113;2=24091114;3=24091115;4=24091116
09B栋|105|1|4|1=24091117;2=24091118;3=24091119;4=24091120
09B栋|106|1|4|1=24091121;2=24091122;3=24091123;4=24091124
09B栋|107|1|4|1=24091125;2=24091126;3=24091127;4=24091128
09B栋|108|1|4|1=24091129;2=24091130;3=24091131;4=24091132
09B栋|109|1|4|1=24091201;2=24091202;3=24091203;4=24091204
09B栋|110|1|4|1=24091205;2=24091206;3=24091207;4=24091208
09B栋|111|1|4|1=24091209;2=24091210;3=24091211;4=24091212
09B栋|112|1|4|1=24091213;2=24091214;3=24091215;4=24091216
09B栋|113|1|4|1=24091217;2=24091218;3=24091219;4=24091220
09B栋|114|1|4|1=24091221;2=24091222;3=24091223;4=24091224
09B栋|115|1|4|1=24091225;2=24091226;3=24091227;4=24091228
09B栋|116|1|4|1=24091229;2=24091230;3=24091231;4=24091232
09B栋|117|1|4|1=24091301;2=24091302;3=24091303;4=24091304
09B栋|118|1|4|1=24091305;2=24091306;3=24091307;4=24091308
09B栋|119|1|4|1=24091309;2=24091310;3=24091311;4=24091312
09B栋|120|1|4|1=24091313;2=24091314;3=24091315;4=24091316
09B栋|121|1|4|1=24091317;2=24091318;3=24091319;4=24091320
09B栋|122|1|4|1=24091321;2=24091322;3=24091323;4=24091324
09B栋|123|1|4|1=24091325;2=24091326;3=24091327;4=24091328
09B栋|124|1|4|1=24091329;2=24091330;3=24091331;4=24091332
09B栋|125|1|4|1=24091401;2=24091402;3=24091403;4=24091404
09B栋|126|1|4|1=24091405;2=24091406;3=24091407;4=24091408
09B栋|127|1|4|1=24091409;2=24091410;3=24091411;4=24091412
09B栋|128|1|4|1=24091413;2=24091414;3=24091415;4=24091416
09B栋|129|1|4|1=24091417;2=24091418;3=24091419;4=24091420
09B栋|130|1|4|1=24091421;2=24091422;3=24091423;4=24091424
09B栋|131|1|4|1=24091425;2=24091426;3=24091427;4=24091428
09B栋|132|1|4|1=24091429;2=24091430;3=24091431;4=24091432
09B栋|133|1|4|1=24092101;2=24092102;3=24092103;4=24092104
09B栋|134|1|4|1=24092105;2=24092106;3=24092107;4=24092108
09B栋|135|1|4|1=24092109;2=24092110;3=24092111;4=24092112
09B栋|136|1|4|1=24092113;2=24092114;3=24092115;4=24092116
09B栋|137|1|4|1=24092117;2=24092118;3=24092119;4=24092120
09B栋|138|1|4|1=24092121;2=24092122;3=24092123;4=24092124
09B栋|139|1|4|1=24092125;2=24092126;3=24092127;4=24092128
09B栋|140|1|4|1=24092129;2=24092130;3=24092131;4=24092132
09B栋|141|1|4|1=24092201;2=24092202;3=24092203;4=24092204
09B栋|142|1|4|1=24092205;2=24092206;3=24092207;4=24092208
09B栋|143|1|4|1=24092209;2=24092210;3=24092211;4=24092212
09B栋|144|1|4|1=24092213;2=24092214;3=24092215;4=24092216
09B栋|145|1|4|1=24092217;2=24092218;3=24092219;4=24092220
09B栋|201|2|4|1=24092221;2=24092222;3=24092223;4=24092224
09B栋|202|2|4|1=24092225;2=24092226;3=24092227;4=24092228
09B栋|203|2|4|1=24092229;2=24092230;3=24092231;4=24092232
09B栋|204|2|4|1=24092301;2=24092302;3=24092303;4=24092304
09B栋|205|2|4|1=24092305;2=24092306;3=24092307;4=24092308
09B栋|206|2|4|1=24092309;2=24092310;3=24092311;4=24092312
09B栋|207|2|4|1=24092313;2=24092314;3=24092315;4=24092316
09B栋|208|2|4|1=24092317;2=24092318;3=24092319;4=24092320
09B栋|209|2|4|1=24092321;2=24092322;3=24092323;4=24092324
09B栋|210|2|4|1=24092325;2=24092326;3=24092327;4=24092328
09B栋|211|2|4|1=24092329;2=24092330;3=24092331;4=24092332
09B栋|212|2|4|1=24092401;2=24092402;3=24092403;4=24092404
09B栋|213|2|4|1=24092405;2=24092406;3=24092407;4=24092408
09B栋|214|2|4|1=24092409;2=24092410;3=24092411;4=24092412
09B栋|215|2|4|1=24092413;2=24092414;3=24092415;4=24092416
09B栋|216|2|4|1=24092417;2=24092418;3=24092419;4=24092420
09B栋|217|2|4|1=24092421;2=24092422;3=24092423;4=24092424
09B栋|218|2|4|1=24092425;2=24092426;3=24092427;4=24092428
09B栋|219|2|4|1=24092429;2=24092430;3=24092431;4=24092432
09B栋|220|2|4|1=24093101;2=24093102;3=24093103;4=24093104
09B栋|221|2|4|1=24093105;2=24093106;3=24093107;4=24093108
09B栋|222|2|4|1=24093109;2=24093110;3=24093111;4=24093112
09B栋|223|2|4|1=24093113;2=24093114;3=24093115;4=24093116
09B栋|224|2|4|1=24093117;2=24093118;3=24093119;4=24093120
09B栋|225|2|4|1=24093121;2=24093122;3=24093123;4=24093124
09B栋|226|2|4|1=24093125;2=24093126;3=24093127;4=24093128
09B栋|227|2|4|1=24093129;2=24093130;3=24093131;4=24093132
09B栋|228|2|4|1=24093201;2=24093202;3=24093203;4=24093204
09B栋|229|2|4|1=24093205;2=24093206;3=24093207;4=24093208
09B栋|230|2|4|1=24093209;2=24093210;3=24093211;4=24093212
09B栋|231|2|4|1=24093213;2=24093214;3=24093215;4=24093216
09B栋|232|2|4|1=24093217;2=24093218;3=24093219;4=24093220
09B栋|233|2|4|1=24093221;2=24093222;3=24093223;4=24093224
09B栋|234|2|4|1=24093225;2=24093226;3=24093227;4=24093228
09B栋|235|2|4|1=24093229;2=24093230;3=24093231;4=24093232
09B栋|236|2|4|1=24093301;2=24093302;3=24093303;4=24093304
09B栋|237|2|4|1=24093305;2=24093306;3=24093307;4=24093308
09B栋|238|2|4|1=24093309;2=24093310;3=24093311;4=24093312
09B栋|239|2|4|1=24093313;2=24093314;3=24093315;4=24093316
09B栋|240|2|4|1=24093317;2=24093318;3=24093319;4=24093320
09B栋|241|2|4|1=24093321;2=24093322;3=24093323;4=24093324
09B栋|242|2|4|1=24093325;2=24093326;3=24093327;4=24093328
09B栋|243|2|4|1=24093329;2=24093330;3=24093331;4=24093332
09B栋|244|2|4|1=24093401;2=24093402;3=24093403;4=24093404
09B栋|245|2|4|1=24093405;2=24093406;3=24093407;4=24093408
09B栋|301|3|4|1=24093409;2=24093410;3=24093411;4=24093412
09B栋|302|3|4|1=24093413;2=24093414;3=24093415;4=24093416
09B栋|303|3|4|1=24093417;2=24093418;3=24093419;4=24093420
09B栋|304|3|4|1=24093421;2=24093422;3=24093423;4=24093424
09B栋|305|3|4|1=24093425;2=24093426;3=24093427;4=24093428
09B栋|306|3|4|1=24093429;2=24093430;3=24093431;4=24093432
09B栋|307|3|4|1=24094101;2=24094102;3=24094103;4=24094104
09B栋|308|3|4|1=24094105;2=24094106;3=24094107;4=24094108
09B栋|309|3|4|1=24094109;2=24094110;3=24094111;4=24094112
09B栋|310|3|4|1=24094113;2=24094114;3=24094115;4=24094116
09B栋|311|3|4|1=24094117;2=24094118;3=24094119;4=24094120
09B栋|312|3|4|1=24094121;2=24094122;3=24094123;4=24094124
09B栋|313|3|4|1=24094125;2=24094126;3=24094127;4=24094128
09B栋|314|3|4|1=24094129;2=24094130;3=24094131;4=24094132
09B栋|315|3|4|1=24094201;2=24094202;3=24094203;4=24094204
09B栋|316|3|4|1=24094205;2=24094206;3=24094207;4=24094208
09B栋|317|3|4|1=24094209;2=24094210;3=24094211;4=24094212
09B栋|318|3|4|1=24094213;2=24094214;3=24094215;4=24094216
09B栋|319|3|4|1=24094217;2=24094218;3=24094219;4=24094220
09B栋|320|3|4|1=24094221;2=24094222;3=24094223;4=24094224
09B栋|321|3|4|1=24094225;2=24094226;3=24094227;4=24094228
09B栋|322|3|4|1=24094229;2=24094230;3=24094231;4=24094232
09B栋|323|3|4|1=24094301;2=24094302;3=24094303;4=24094304
09B栋|324|3|4|1=24094305;2=24094306;3=24094307;4=24094308
09B栋|325|3|4|1=24094309;2=24094310;3=24094311;4=24094312
09B栋|326|3|4|1=24094313;2=24094314;3=24094315;4=24094316
09B栋|327|3|4|1=24094317;2=24094318;3=24094319;4=24094320
09B栋|328|3|4|1=24094321;2=24094322;3=24094323;4=24094324
09B栋|329|3|4|1=24094325;2=24094326;3=24094327;4=24094328
09B栋|330|3|4|1=24094329;2=24094330;3=24094331;4=24094332
09B栋|331|3|4|1=24094401;2=24094402;3=24094403;4=24094404
09B栋|332|3|4|1=24094405;2=24094406;3=24094407;4=24094408
09B栋|333|3|4|1=24094409;2=24094410;3=24094411;4=24094412
09B栋|334|3|4|1=24094413;2=24094414;3=24094415;4=24094416
09B栋|335|3|4|1=24094417;2=24094418;3=24094419;4=24094420
09B栋|336|3|4|1=24094421;2=24094422;3=24094423;4=24094424
09B栋|337|3|4|1=24094425;2=24094426;3=24094427;4=24094428
09B栋|338|3|4|1=24094429;2=24094430;3=24094431;4=24094432
09B栋|339|3|4|1=25091101;2=25091102;3=25091103;4=25091104
09B栋|340|3|4|1=25091105;2=25091106;3=25091107;4=25091108
09B栋|341|3|4|1=25091109;2=25091110;3=25091111;4=25091112
09B栋|342|3|4|1=25091113;2=25091114;3=25091115;4=25091116
09B栋|343|3|4|1=25091117;2=25091118;3=25091119;4=25091120
09B栋|344|3|4|1=25091121;2=25091122;3=25091123;4=25091124
09B栋|345|3|4|1=25091125;2=25091126;3=25091127;4=25091128
09B栋|401|4|4|1=25091129;2=25091130;3=25091131;4=25091132
09B栋|402|4|4|1=25091201;2=25091202;3=25091203;4=25091204
09B栋|403|4|4|1=25091205;2=25091206;3=25091207;4=25091208
09B栋|404|4|4|1=25091209;2=25091210;3=25091211;4=25091212
09B栋|405|4|4|1=25091213;2=25091214;3=25091215;4=25091216
09B栋|406|4|4|1=25091217;2=25091218;3=25091219;4=25091220
09B栋|407|4|4|1=25091221;2=25091222;3=25091223;4=25091224
09B栋|408|4|4|1=25091225;2=25091226;3=25091227;4=25091228
09B栋|409|4|4|1=25091229;2=25091230;3=25091231;4=25091232
09B栋|410|4|4|1=25091301;2=25091302;3=25091303;4=25091304
09B栋|411|4|4|1=25091305;2=25091306;3=25091307;4=25091308
09B栋|412|4|4|1=25091309;2=25091310;3=25091311;4=25091312
09B栋|413|4|4|1=25091313;2=25091314;3=25091315;4=25091316
09B栋|414|4|4|1=25091317;2=25091318;3=25091319;4=25091320
09B栋|415|4|4|1=25091321;2=25091322;3=25091323;4=25091324
09B栋|416|4|4|1=25091325;2=25091326;3=25091327;4=25091328
09B栋|417|4|4|1=25091329;2=25091330;3=25091331;4=25091332
09B栋|418|4|4|1=25091401;2=25091402;3=25091403;4=25091404
09B栋|419|4|4|1=25091405;2=25091406;3=25091407;4=25091408
09B栋|420|4|4|1=25091409;2=25091410;3=25091411;4=25091412
09B栋|421|4|4|1=25091413;2=25091414;3=25091415;4=25091416
09B栋|422|4|4|1=25091417;2=25091418;3=25091419;4=25091420
09B栋|423|4|4|1=25091421;2=25091422;3=25091423;4=25091424
09B栋|424|4|4|1=25091425;2=25091426;3=25091427;4=25091428
09B栋|425|4|4|1=25091429;2=25091430;3=25091431;4=25091432
09B栋|426|4|4|1=25092101;2=25092102;3=25092103;4=25092104
09B栋|427|4|4|1=25092105;2=25092106;3=25092107;4=25092108
09B栋|428|4|4|1=25092109;2=25092110;3=25092111;4=25092112
09B栋|429|4|4|1=25092113;2=25092114;3=25092115;4=25092116
09B栋|430|4|4|1=25092117;2=25092118;3=25092119;4=25092120
09B栋|431|4|4|1=25092121;2=25092122;3=25092123;4=25092124
09B栋|432|4|4|1=25092125;2=25092126;3=25092127;4=25092128
09B栋|433|4|4|1=25092129;2=25092130;3=25092131;4=25092132
09B栋|434|4|4|1=25092201;2=25092202;3=25092203;4=25092204
09B栋|435|4|4|1=25092205;2=25092206;3=25092207;4=25092208
09B栋|436|4|4|1=25092209;2=25092210;3=25092211;4=25092212
09B栋|437|4|4|1=25092213;2=25092214;3=25092215;4=25092216
09B栋|438|4|4|1=25092217;2=25092218;3=25092219;4=25092220
09B栋|439|4|4|1=25092221;2=25092222;3=25092223;4=25092224
09B栋|440|4|4|1=25092225;2=25092226;3=25092227;4=25092228
09B栋|441|4|4|1=25092229;2=25092230;3=25092231;4=25092232
09B栋|442|4|4|1=25092301;2=25092302;3=25092303;4=25092304
09B栋|443|4|4|1=25092305;2=25092306;3=25092307;4=25092308
09B栋|444|4|4|1=25092309;2=25092310;3=25092311;4=25092312
09B栋|445|4|4|1=25092313;2=25092314;3=25092315;4=25092316
09B栋|501|5|4|1=25092317;2=25092318;3=25092319;4=25092320
09B栋|502|5|4|1=25092321;2=25092322;3=25092323;4=25092324
09B栋|503|5|4|1=25092325;2=25092326;3=25092327;4=25092328
09B栋|504|5|4|1=25092329;2=25092330;3=25092331;4=25092332
09B栋|505|5|4|1=25092401;2=25092402;3=25092403;4=25092404
09B栋|506|5|4|1=25092405;2=25092406;3=25092407;4=25092408
09B栋|507|5|4|1=25092409;2=25092410;3=25092411;4=25092412
09B栋|508|5|4|1=25092413;2=25092414;3=25092415;4=25092416
09B栋|509|5|4|1=25092417;2=25092418;3=25092419;4=25092420
09B栋|510|5|4|1=25092421;2=25092422;3=25092423;4=25092424
09B栋|511|5|4|1=25092425;2=25092426;3=25092427;4=25092428
09B栋|512|5|4|1=25092429;2=25092430;3=25092431;4=25092432
09B栋|513|5|4|1=25093101;2=25093102;3=25093103;4=25093104
09B栋|514|5|4|1=25093105;2=25093106;3=25093107;4=25093108
09B栋|515|5|4|1=25093109;2=25093110;3=25093111;4=25093112
09B栋|516|5|4|1=25093113;2=25093114;3=25093115;4=25093116
09B栋|517|5|4|1=25093117;2=25093118;3=25093119;4=25093120
09B栋|518|5|4|1=25093121;2=25093122;3=25093123;4=25093124
09B栋|519|5|4|1=25093125;2=25093126;3=25093127;4=25093128
09B栋|520|5|4|1=25093129;2=25093130;3=25093131;4=25093132
09B栋|521|5|4|1=25093201;2=25093202;3=25093203;4=25093204
09B栋|522|5|4|1=25093205;2=25093206;3=25093207;4=25093208
09B栋|523|5|4|1=25093209;2=25093210;3=25093211;4=25093212
09B栋|524|5|4|1=25093213;2=25093214;3=25093215;4=25093216
09B栋|525|5|4|1=25093217;2=25093218;3=25093219;4=25093220
09B栋|526|5|4|1=25093221;2=25093222;3=25093223;4=25093224
09B栋|527|5|4|1=25093225;2=25093226;3=25093227;4=25093228
09B栋|528|5|4|1=25093229;2=25093230;3=25093231;4=25093232
09B栋|529|5|4|1=25093301;2=25093302;3=25093303;4=25093304
09B栋|530|5|4|1=25093305;2=25093306;3=25093307;4=25093308
09B栋|531|5|4|1=25093309;2=25093310;3=25093311;4=25093312
09B栋|532|5|4|1=25093313;2=25093314;3=25093315;4=25093316
09B栋|533|5|4|1=25093317;2=25093318;3=25093319;4=25093320
09B栋|534|5|4|1=25093321;2=25093322;3=25093323;4=25093324
09B栋|535|5|4|1=25093325;2=25093326;3=25093327;4=25093328
09B栋|536|5|4|1=25093329;2=25093330;3=25093331;4=25093332
09B栋|537|5|4|1=25093401;2=25093402;3=25093403;4=25093404
09B栋|538|5|4|1=25093405;2=25093406;3=25093407;4=25093408
09B栋|539|5|4|1=25093409;2=25093410;3=25093411;4=25093412
09B栋|540|5|4|1=25093413;2=25093414;3=25093415;4=25093416
09B栋|541|5|4|1=25093417;2=25093418;3=25093419;4=25093420
09B栋|542|5|4|1=25093421;2=25093422;3=25093423;4=25093424
09B栋|543|5|4|1=25093425;2=25093426;3=25093427;4=25093428
09B栋|544|5|4|1=25093429;2=25093430;3=25093431;4=25093432
09B栋|545|5|4|1=25094101;2=25094102;3=25094103;4=25094104
09B栋|601|6|4|1=25094105;2=25094106;3=25094107;4=25094108
09B栋|602|6|4|1=25094109;2=25094110;3=25094111;4=25094112
09B栋|603|6|4|1=25094113;2=25094114;3=25094115;4=25094116
09B栋|604|6|4|1=25094117;2=25094118;3=25094119;4=25094120
09B栋|605|6|4|1=25094121;2=25094122;3=25094123;4=25094124
09B栋|606|6|4|1=25094125;2=25094126;3=25094127;4=25094128
09B栋|607|6|4|1=25094129;2=25094130;3=25094131;4=25094132
09B栋|608|6|4|1=25094201;2=25094202;3=25094203;4=25094204
09B栋|609|6|4|1=25094205;2=25094206;3=25094207;4=25094208
09B栋|610|6|4|1=25094209;2=25094210;3=25094211;4=25094212
09B栋|611|6|4|1=25094213;2=25094214;3=25094215;4=25094216
09B栋|612|6|4|1=25094217;2=25094218;3=25094219;4=25094220
09B栋|613|6|4|1=25094221;2=25094222;3=25094223;4=25094224
09B栋|614|6|4|1=25094225;2=25094226;3=25094227;4=25094228
09B栋|615|6|4|1=25094229;2=25094230;3=25094231;4=25094232
09B栋|616|6|4|1=25094301;2=25094302;3=25094303;4=25094304
09B栋|617|6|4|1=25094305;2=25094306;3=25094307;4=25094308
09B栋|618|6|4|1=25094309;2=25094310;3=25094311;4=25094312
09B栋|619|6|4|1=25094313;2=25094314;3=25094315;4=25094316
09B栋|620|6|4|1=25094317;2=25094318;3=25094319;4=25094320
09B栋|621|6|4|1=25094321;2=25094322;3=25094323;4=25094324
09B栋|622|6|4|1=25094325;2=25094326;3=25094327;4=25094328
09B栋|623|6|4|1=25094329;2=25094330;3=25094331;4=25094332
09B栋|624|6|4|1=25094401;2=25094402;3=25094403;4=25094404
09B栋|625|6|4|1=25094405;2=25094406;3=25094407;4=25094408
09B栋|626|6|4|1=25094409;2=25094410;3=25094411;4=25094412
09B栋|627|6|4|1=25094413;2=25094414;3=25094415;4=25094416
09B栋|628|6|4|1=25094417;2=25094418;3=25094419;4=25094420
09B栋|629|6|4|1=25094421;2=25094422;3=25094423;4=25094424
09B栋|630|6|4|1=25094425;2=25094426;3=25094427;4=25094428
09B栋|631|6|4|1=25094429;2=25094430;3=25094431;4=25094432
09B栋|632|6|4|1=;2=;3=;4=
09B栋|633|6|4|1=;2=;3=;4=
09B栋|634|6|4|1=;2=;3=;4=
09B栋|635|6|4|1=;2=;3=;4=
09B栋|636|6|4|1=;2=;3=;4=
09B栋|637|6|4|1=;2=;3=;4=
09B栋|638|6|4|1=;2=;3=;4=
09B栋|639|6|4|1=;2=;3=;4=
09B栋|640|6|4|1=;2=;3=;4=
09B栋|641|6|4|1=;2=;3=;4=
09B栋|642|6|4|1=;2=;3=;4=
09B栋|643|6|4|1=;2=;3=;4=
09B栋|644|6|4|1=;2=;3=;4=
09B栋|645|6|4|1=;2=;3=;4=
10A栋|101|1|4|1=24101109;2=24101110;3=24101111;4=24101112
10A栋|102|1|4|1=24101113;2=24101114;3=24101115;4=24101116
10A栋|103|1|4|1=24101117;2=24101118;3=24101119;4=24101120
10A栋|104|1|4|1=24101121;2=24101122;3=24101123;4=24101124
10A栋|105|1|4|1=24101125;2=24101126;3=24101127;4=24101128
